,title,url,site_name,fb_engagement,published_date,category,elapsed_days,engagement_per_day,month_published,engagement_per_month,title_length
260,Anthony Bourdain Was About To Expose Elite Pedophiles Before Death,https://yournewswire.com/anthony-bourdain-elite-pedophiles-death/,yournewswire.com,22975,2018-06-12,Uncategorized,2025,11.345679012345679,June,340.3703703703704,66.0
261,Anthony Bourdain's Mother: My Son Would Not Commit Suicide,https://yournewswire.com/anthony-bourdains-mother-suicide/,yournewswire.com,22934,2018-06-12,Uncategorized,2025,11.325432098765432,June,339.76296296296294,58.0
262,"Lisa Page: Trump Is Right, Mueller Probe Is Witch Hunt",https://yournewswire.com/lisa-page-mueller-probe-witch-hunt/,yournewswire.com,22792,2018-07-21,Uncategorized,1986,11.476334340382678,July,344.29003021148037,54.0
263,Untersuchungsausschuss 2018. MERKEL IM MAI VOR GERICHT,http://www.24aktuelles.com/5ac133713d3d7/untersuchungsausschuss-2018-merkel-im-mai-vor-gericht.html,www.24aktuelles.com,22780,2018-04-02,Uncategorized,2096,10.868320610687023,April,326.0496183206107,54.0
264,Keanu Reeves: Humans About To Break Free From 'The Matrix',https://newspunch.com/keanu-reeves-breaking-free-matrix/,newspunch.com,22778,2018-02-02,Uncategorized,2155,10.56983758700696,February,317.09512761020886,58.0
265,Keanu Reeves: Humans About To Break Free From 'The Matrix',https://newspunch.com/keanu-reeves-breaking-free-matrix/,newspunch.com,22778,2018-02-02,Uncategorized,2155,10.56983758700696,February,317.09512761020886,58.0
266,Ivan Duque se despachó contra los negros,https://www.huzlers.com/ivan-duque-se-despacho-contra-los-negros/,www.huzlers.com,22240,2018-04-26,Uncategorized,2072,10.733590733590734,April,322.007722007722,40.0
267,"While we remembered the lives of millions, you got upset over Corbyn’s fucking jacket",https://uokhun.uk/2018/11/11/while-we-remembered-the-lives-of-millions-you-got-upset-over-corbyns-fucking-jacket/,uokhun.uk,22051,2018-11-11,Uncategorized,1873,11.773091297383877,November,353.1927389215163,85.0
268,Paul Chuckle appointed as Brexit Secretary,https://uokhun.uk/2018/11/15/paul-chuckle-appointed-as-brexit-secretary/,uokhun.uk,21664,2018-11-15,Uncategorized,1869,11.591225254146602,November,347.7367576243981,42.0
269,Canada: Hells Angels sue government for $2 billion revenue loss over legalization of marijuana,https://worldnewsdailyreport.com/canada-hells-angels-sue-government-for-2-billion-revenue-loss-over-legalization-of-marijuana/,worldnewsdailyreport.com,21527,2018-11-12,Uncategorized,1872,11.499465811965813,November,344.98397435897436,94.0
270,In Ghana you must to dress like your wedding day to get divorced,https://thereisnews.com/in-ghana-you-must-to-dress-like-your-wedding-day-to-get-divorced/,thereisnews.com,21363,2018-12-09,Uncategorized,1845,11.578861788617886,December,347.3658536585366,64.0
271,Kennedy Brothers Were Killed By CIA On Behalf Of Israel,https://yournewswire.com/kennedy-brothers-killed-cia-israel/,yournewswire.com,21343,2018-05-29,Uncategorized,2039,10.46738597351643,May,314.02157920549286,55.0
272,Former Democratic Party Chairman Arrested on Pedophilia Charges,https://neonnettle.com/news/5577-former-democratic-party-chairman-arrested-on-pedophilia-charges,neonnettle.com,21262,2018-11-08,Uncategorized,1876,11.33368869936034,November,340.01066098081026,63.0
273,"Democrat Mayor Arrested for Embezzling Over $230,000 of Investors' Money",https://neonnettle.com/news/5322-democrat-mayor-arrested-for-embezzling-over-230-000-of-investors-money,neonnettle.com,21180,2018-10-12,Uncategorized,1903,11.129795060430899,October,333.893851812927,72.0
274,DHS Bombshell: Several Million Illegals Voted For Hillary,https://yournewswire.com/dhs-million-illegals-voted-hillary/,yournewswire.com,21093,2018-02-21,Uncategorized,2136,9.875,February,296.25,57.0
275,Man High On LSD Saves Dog From Imaginary Fire,https://www.8shit.net/man-high-on-lsd-saves-dog-from-imaginary-fire/,www.8shit.net,20959,2018-05-10,Uncategorized,2058,10.184159378036929,May,305.5247813411079,45.0
276,Iran: John Kerry Accepted Bribe To Make Nuclear Deal Happen,https://yournewswire.com/iran-john-kerry-bribe-nuclear/,yournewswire.com,20950,2018-05-13,Uncategorized,2055,10.194647201946472,May,305.83941605839414,59.0
278,Trump HHS Official Found Dead; Ruled Suicide By 'Multiple Blunt Force Injuries',https://newspunch.com/pharma-exec-suicide-blunt-force/,newspunch.com,20942,2018-11-17,Uncategorized,1867,11.216925549009105,November,336.50776647027317,79.0
277,Trump HHS Official Found Dead; Ruled Suicide By 'Multiple Blunt Force Injuries',https://newspunch.com/pharma-exec-suicide-blunt-force/,newspunch.com,20942,2018-11-17,Uncategorized,1867,11.216925549009105,November,336.50776647027317,79.0
